t(s),V
1288.000669,0.023726
1289.000727,0.026911
1290.000784,0.025000
1291.000841,0.020540
1291.999898,0.020540
1292.999956,0.024363
1294.000012,0.024363
1294.999070,0.023089
1296.000127,0.017992
1297.000184,0.022452
1298.000241,0.020540
1298.999299,0.020540
1300.000356,0.021815
1301.000413,0.016718
1302.000470,0.018629
1303.000527,0.016718
1304.000585,0.012895
1305.000642,0.012258
1306.000699,0.014169
1307.000756,0.014806
1307.999814,0.011621
1309.000871,0.014169
1309.999928,0.015443
1310.999985,0.018629
1312.000042,0.014806
1313.000100,0.014169
1313.999156,0.010347
1315.000214,0.010347
1316.000271,0.012895
1317.000328,0.007798
1318.000385,0.003976
1319.000443,0.003976
1319.999500,0.004613
1321.000557,0.003976
1321.999614,0.007798
1323.000671,0.004613
1324.000729,0.009072
1324.999786,0.009710
1326.000843,0.009710
1326.999900,0.007798
1327.999958,0.010347
1329.000014,0.012258
1329.999072,0.012258
1331.000129,0.006524
1331.999186,0.009710
1333.000243,0.010347
1334.000300,0.012258
1335.000358,0.012258
1335.999415,0.013532
1337.000472,0.012258
1337.999529,0.016081
1338.999587,0.014806
1340.000644,0.015443
1341.000701,0.013532
1342.000758,0.016718
1343.000815,0.016718
1344.000873,0.014169
1344.999930,0.012258
1345.999987,0.012258
1347.000044,0.012895
1348.000101,0.014806
1348.999158,0.015443
1350.000216,0.011621
1350.999273,0.013532
1351.999330,0.012258
1353.000387,0.015443
1353.999444,0.014169
1354.999502,0.014169
1356.000559,0.011621
1357.000616,0.014169
1357.999673,0.014169
